country,food_category,consumption,co2_emmission,food_division
Belarus,Pork,40.37,142.89,Animal
Belarus,Poultry,31.29,33.61,Animal
Belarus,Beef,17.11,527.98,Animal
Belarus,Lamb & Goat,0.11,3.85,Animal
Belarus,Fish,15.75,25.15,Animal
Belarus,Eggs,15.86,14.57,Animal
Belarus,Milk - inc. cheese,133.73,190.49,Non-Animal
Belarus,Wheat and Wheat Products,60.48,11.53,Non-Animal
Belarus,Rice,3.17,4.06,Non-Animal
Belarus,Soybeans,0.3,0.14,Non-Animal
Belarus,Nuts inc. Peanut Butter,3.36,5.95,Non-Animal
Belgium,Pork,38.65,136.8,Animal
Belgium,Poultry,12.2,13.11,Animal
Belgium,Beef,15.63,482.31,Animal
Belgium,Lamb & Goat,1.32,46.23,Animal
Belgium,Fish,18.97,30.29,Animal
Belgium,Eggs,12.59,11.57,Animal
Belgium,Milk - inc. cheese,236.19,336.43,Non-Animal
Belgium,Wheat and Wheat Products,111.91,21.34,Non-Animal
Belgium,Rice,8.61,11.02,Non-Animal
Belgium,Soybeans,0.07,0.03,Non-Animal
Belgium,Nuts inc. Peanut Butter,7.32,12.96,Non-Animal
Belize,Pork,16.8,59.46,Animal
Belize,Poultry,28.31,30.41,Animal
Belize,Beef,4.86,149.97,Animal
Belize,Lamb & Goat,0.14,4.9,Animal
Belize,Fish,7.57,12.09,Animal
Belize,Eggs,4.85,4.46,Animal
Belize,Milk - inc. cheese,80.3,114.38,Non-Animal
Belize,Wheat and Wheat Products,54.06,10.31,Non-Animal
Belize,Rice,28.42,36.37,Non-Animal
Belize,Soybeans,1.88,0.85,Non-Animal
Belize,Nuts inc. Peanut Butter,5.58,9.88,Non-Animal
Bermuda,Pork,28.24,99.96,Animal
Bermuda,Poultry,32.62,35.04,Animal
Bermuda,Beef,33.15,1022.94,Animal
Bermuda,Lamb & Goat,2.71,94.9,Animal
Bermuda,Fish,33.22,53.04,Animal
Bermuda,Eggs,14.92,13.71,Animal
Bermuda,Milk - inc. cheese,95.56,136.12,Non-Animal
Bermuda,Wheat and Wheat Products,54.88,10.47,Non-Animal
Bermuda,Rice,5.38,6.88,Non-Animal
Bermuda,Soybeans,0.22,0.1,Non-Animal
Bermuda,Nuts inc. Peanut Butter,5.72,10.12,Non-Animal
Bolivia,Pork,8.89,31.47,Animal
Bolivia,Poultry,34.31,36.86,Animal
Bolivia,Beef,19.78,610.37,Animal
Bolivia,Lamb & Goat,1.72,60.23,Animal
Bolivia,Fish,2.18,3.48,Animal
Bolivia,Eggs,5.18,4.76,Animal
Bolivia,Milk - inc. cheese,46.04,65.58,Non-Animal
Bolivia,Wheat and Wheat Products,49.99,9.53,Non-Animal
Bolivia,Rice,26.99,34.54,Non-Animal
Bolivia,Soybeans,0.01,0,Non-Animal
Bolivia,Nuts inc. Peanut Butter,9.16,16.21,Non-Animal
Bosnia and Herzegovina,Pork,9.38,33.2,Animal
Bosnia and Herzegovina,Poultry,13.17,14.15,Animal
Bosnia and Herzegovina,Beef,9.12,281.42,Animal
Bosnia and Herzegovina,Lamb & Goat,0.47,16.46,Animal
Bosnia and Herzegovina,Fish,4.06,6.48,Animal
Bosnia and Herzegovina,Eggs,4.49,4.12,Animal
Bosnia and Herzegovina,Milk - inc. cheese,174.03,247.89,Non-Animal
Bosnia and Herzegovina,Wheat and Wheat Products,93.56,17.84,Non-Animal
Bosnia and Herzegovina,Rice,1.88,2.41,Non-Animal
Bosnia and Herzegovina,Soybeans,1.48,0.67,Non-Animal
